vendor_id,vendor_name,category,vendor_since,payment_terms_days,status
V0001,Apex Systems Pvt Ltd,Professional Services,2024-10-08,15,Active
V0002,Fusion Systems Pvt Ltd,Marketing,2023-08-30,30,Active
V0003,Global Supplies Pvt Ltd,Logistics,2023-08-31,15,Active
V0004,Jupiter Services Pvt Ltd,Utilities,2023-09-03,30,Active
V0005,Global Solutions Pvt Ltd,IT Services,2025-01-25,45,Active
V0006,Indus Enterprises Pvt Ltd,Manufacturing,2025-06-18,45,Active
V0007,Bluewave Enterprises Pvt Ltd,Professional Services,2024-11-13,60,Active
V0008,Crest Logistics Pvt Ltd,Utilities,2024-04-03,60,Active
V0009,Delta Solutions Pvt Ltd,Facilities,2025-10-06,30,Active
V0010,Fusion Enterprises Pvt Ltd,Professional Services,2025-05-28,60,Active
V0011,Bluewave Services Pvt Ltd,Marketing,2018-09-21,30,Active
V0012,Fusion Systems Pvt Ltd,Manufacturing,2022-07-30,60,Active
V0013,Crest Components Pvt Ltd,Facilities,2022-01-17,30,Active
V0014,Indus Enterprises Pvt Ltd,Manufacturing,2020-12-18,30,Active
V0015,Jupiter Components Pvt Ltd,Facilities,2020-04-23,60,Active
V0016,Evergreen Logistics Pvt Ltd,Logistics,2023-12-14,45,Active
V0017,Fusion Enterprises Pvt Ltd,Logistics,2018-01-29,30,Active
V0018,Apex Solutions Pvt Ltd,Facilities,2021-04-18,45,Active
V0019,Horizon Solutions Pvt Ltd,Utilities,2019-03-27,30,Active
V0020,Fusion Logistics Pvt Ltd,Manufacturing,2019-10-26,30,Active
V0021,Fusion Services Pvt Ltd,Logistics,2023-07-25,30,Active
V0022,Horizon Components Pvt Ltd,Manufacturing,2024-03-06,60,Active
V0023,Indus Components Pvt Ltd,Professional Services,2025-01-21,15,Active
V0024,Jupiter Solutions Pvt Ltd,Facilities,2023-09-12,60,Blocked
V0025,Evergreen Solutions Pvt Ltd,Professional Services,2018-11-13,30,Active
V0026,Jupiter Industries Pvt Ltd,Logistics,2021-06-26,30,Active
V0027,Crest Supplies Pvt Ltd,Facilities,2022-03-21,45,Active
V0028,Fusion Enterprises Pvt Ltd,Office Supplies,2024-01-21,30,Active
V0029,Fusion Industries Pvt Ltd,Professional Services,2021-04-25,60,Active
V0030,Fusion Components Pvt Ltd,IT Services,2023-08-09,15,Active
V0031,Delta Solutions Pvt Ltd,IT Services,2025-05-04,30,Active
V0032,Bluewave Components Pvt Ltd,Manufacturing,2023-03-10,30,Active
V0033,Indus Logistics Pvt Ltd,Facilities,2019-12-25,15,Active
V0034,Apex Solutions Pvt Ltd,Manufacturing,2020-10-02,45,Active
V0035,Apex Supplies Pvt Ltd,Facilities,2023-09-10,45,Active
V0036,Crest Solutions Pvt Ltd,Facilities,2020-02-14,45,Active
V0037,Crest Industries Pvt Ltd,Manufacturing,2022-08-08,30,Active
V0038,Horizon Enterprises Pvt Ltd,Marketing,2020-04-12,60,Active
V0039,Apex Components Pvt Ltd,IT Services,2024-09-09,45,Active
V0040,Delta Supplies Pvt Ltd,Facilities,2024-01-02,60,Active
V0041,Apex Supplies Pvt Ltd,Facilities,2022-05-27,30,Active
V0042,Indus Enterprises Pvt Ltd,Manufacturing,2021-09-29,30,Active
V0043,Apex Solutions Pvt Ltd,IT Services,2023-07-05,60,Active
V0044,Global Industries Pvt Ltd,Office Supplies,2024-04-08,60,Active
